Airport Name,Location,Country,Latitude,Longitude
Mobile Downtown Airport,Mobile,United States,30.6268005371,-88.0680999756
Metropolitan Oakland International Airport,Oakland,United States,37.721298,-122.221001
Eppley Airfield,Omaha,United States,41.3032,-95.894096
Port Angeles Cgas Airport,Port Angeles,United States,48.1414985656738,-123.414001464844
Kahului Airport,Kahului,United States,20.8986,-156.429993
Wichita Eisenhower National Airport,Wichita,United States,37.649899,-97.433098
Kansas City International Airport,Kansas City,United States,39.2976,-94.713898
Dane County Regional Truax Field,Madison,United States,43.1399002075195,-89.3375015258789
Dillingham Airport,Dillingham,United States,59.04470062,-158.5050049
Boone County Airport,Harrison,United States,36.2615013122559,-93.1547012329102
Phoenix Sky Harbor International Airport,Phoenix,United States,33.4342994689941,-112.012001037598
Bangor International Airport,Bangor,United States,44.8073997497559,-68.8281021118164
Fort Lauderdale Executive Airport,Fort Lauderdale,United States,26.1972999573,-80.1707000732
East Texas Regional Airport,Longview,United States,32.3839988708496,-94.7115020751953
Anderson Regional Airport,Andersen,United States,34.4945983887,-82.7093963623
Spokane International Airport,Spokane,United States,47.6198997497559,-117.533996582031
North Perry Airport,Hollywood,United States,26.0012,-80.2407
San Francisco International Airport,San Francisco,United States,37.6189994812012,-122.375
Cut Bank International Airport,Cutbank,United States,48.6083984375,-112.375999451
Acadiana Regional Airport,Louisiana,United States,30.0378,-91.883904
Gainesville Regional Airport,Gainesville,United States,29.6900997162,-82.2717971802
Memphis International Airport,Memphis,United States,35.0424003601074,-89.9766998291016
Bisbee Douglas International Airport,Douglas,United States,31.4689998627,-109.603996277
Allen Army Airfield,Delta Junction,United States,63.9944992065,-145.722000122
TSTC Waco Airport,Waco,United States,31.6378002167,-97.0740966797
Annette Island Airport,Annette Island,United States,55.0424003601074,-131.572006225586
Caribou Municipal Airport,Caribou,United States,46.8714981079,-68.0178985596
Little Rock Air Force Base,Jacksonville,United States,34.9169006348,-92.1496963501
Redstone Army Air Field,Redstone,United States,34.67869949,-86.68479919
Pope Field,Fort Bragg,United States,35.1708984375,-79.014503479004
Dalhart Municipal Airport,Dalhart,United States,36.0225982666,-102.54699707
DLF Airport,Del Rio,United States,29.359501,-100.778002
Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971
Anniston Regional Airport,Anniston,United States,33.5882,-85.8581
Cleveland Hopkins International Airport,Cleveland,United States,41.4117012024,-81.8498001099
Dover Air Force Base,Dover,United States,39.12950134,-75.46600342
Cincinnati Northern Kentucky International Airport,Cincinnati,United States,39.0488014221,-84.6678009033
Tipton Airport,Fort Meade,United States,39.0853996277,-76.7593994141
China Lake Naws (Armitage Field) Airport,China Lake,United States,35.6853981,-117.6920013
Huron Regional Airport,Huron,United States,44.3852005004883,-98.2285003662109
Juneau International Airport,Juneau,United States,58.3549995422363,-134.57600402832
Lafayette Regional Airport,Lafayette,United States,30.20529938,-91.98760223
Newark Liberty International Airport,Newark,United States,40.6925010681152,-74.168701171875
Boise Air Terminal/Gowen Field,Boise,United States,43.5644,-116.223
Creech Air Force Base,Indian Springs,United States,36.5872001648,-115.672996521
Garden City Regional Airport,Garden City,United States,37.9275016785,-100.723999023
Minot International Airport,Minot,United States,48.2593994140625,-101.279998779297
Wheeler Army Airfield,Wahiawa,United States,21.48349953,-158.0399933
Maxwell Air Force Base,Montgomery,United States,32.3829,-86.365799
Robinson Army Air Field,Robinson,United States,34.85010147,-92.30020142
Dallas Love Field,Dallas,United States,32.847099,-96.851799
Butts AAF (Fort Carson) Air Field,Fort Carson,United States,38.67839813,-104.7570038
Helena Regional Airport,Helena,United States,46.6068000793457,-111.983001708984
Miramar Marine Corps Air Station - Mitscher Field,Miramar,United States,32.86840057,-117.1429977
Luke Air Force Base,Phoenix,United States,33.5349998474,-112.383003235
Hurlburt Field,Mary Esther,United States,30.4277992248535,-86.6893005371094
Jack Northrop Field Hawthorne Municipal Airport,Hawthorne,United States,33.922798,-118.334999
Houlton International Airport,Houlton,United States,46.1231002808,-67.792098999
Vance Air Force Base,Enid,United States,36.3391990662,-97.9164962769
Point Mugu Naval Air Station (Naval Base Ventura Co),Point Mugu,United States,34.120300293,-119.121002197
Edwards Air Force Base,Edwards Afb,United States,34.905399,-117.884003
Lake Charles Regional Airport,Lake Charles,United States,30.1261005401611,-93.2232971191406
Ellison Onizuka Kona International At Keahole Airport,Kona,United States,19.738783,-156.045603
Myrtle Beach International Airport,Myrtle Beach,United States,33.6796989441,-78.9282989502
Lemoore Naval Air Station (Reeves Field) Airport,Lemoore,United States,36.33300018,-119.9520035
Nantucket Memorial Airport,Nantucket,United States,41.25310135,-70.06020355
Felker Army Air Field,Fort Eustis,United States,37.1324996948,-76.6088027954
Campbell AAF (Fort Campbell) Air Field,Hopkinsville,United States,36.668598175,-87.4962005615
Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697
Patuxent River Naval Air Station (Trapnell Field),Patuxent River,United States,38.285999,-76.411797
Palacios Municipal Airport,Palacios,United States,28.727500915527,-96.250999450684
Arkansas International Airport,Blytheville,United States,35.9642982483,-89.9440002441
Atlantic City International Airport,Atlantic City,United States,39.4575996398926,-74.5772018432617
Tinker Air Force Base,Oklahoma City,United States,35.414699554443,-97.386596679688
Elizabeth City Regional Airport & Coast Guard Air Station,Elizabeth City,United States,36.26060104,-76.17459869
Pueblo Memorial Airport,Pueblo,United States,38.2891006469727,-104.497001647949
Northern Maine Regional Airport at Presque Isle,Presque Isle,United States,46.68899918,-68.0447998
Kirtland Air Force Base,Kirtland A.f.b.,United States,35.040222,-106.609194
Gray Army Air Field,Fort Lewis,United States,47.07920074,-122.5810013
Kodiak Airport,Kodiak,United States,57.75,-152.4940033
Upolu Airport,Opolu,United States,20.2653007507324,-155.860000610352
Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,26.072599,-80.152702
Muskogee-Davis Regional Airport,Muskogee,United States,35.656502,-95.366699
Falls International Airport,International Falls,United States,48.5662002563477,-93.4030990600586
Salt Lake City International Airport,Salt Lake City,United States,40.7883987426758,-111.977996826172
Childress Municipal Airport,Childress,United States,34.4337997437,-100.288002014
Keesler Air Force Base,Biloxi,United States,30.4104003906,-88.9244003296
Lawson Army Air Field (Fort Benning),Fort Benning,United States,32.3372993469,-84.9913024902
Kingsville Naval Air Station,Kingsville,United States,27.5072002411,-97.8097000122
Marshall Army Air Field,Fort Riley,United States,39.05530167,-96.76450348
Harrisburg International Airport,Harrisburg,United States,40.1935005188,-76.7633972168
Lincoln Airport,Lincoln,United States,40.851001739502,-96.7592010498047
Capital City Airport,Lansing,United States,42.7787017822266,-84.58740234375
Waimea Kohala Airport,Kamuela,United States,20.0013008117676,-155.667999267578
Massena International Richards Field,Massena,United States,44.9357986450195,-74.8455963134766
Hickory Regional Airport,Hickory,United States,35.74110031,-81.38950348
Albert Whitted Airport,St. Petersburg,United States,27.7651,-82.626999
Page Field,Fort Myers,United States,26.58659935,-81.8632965088
George Bush Intercontinental Houston Airport,Houston,United States,29.9843997955322,-95.3414001464844
Millinocket Municipal Airport,Millinocket,United States,45.6478004455566,-68.6856002807617
Joint Base Andrews,Camp Springs,United States,38.810799,-76.866997
Smith Reynolds Airport,Winston-salem,United States,36.1337013244629,-80.2220001220703
Southern California Logistics Airport,Victorville,United States,34.5974998474,-117.383003235
Bob Sikes Airport,Crestview,United States,30.778799057,-86.522102356
Wheeler Sack Army Air Field,Fort Drum,United States,44.05559921,-75.71949768
St Clair County International Airport,Port Huron,United States,42.9109993,-82.52890015
Meadows Field,Bakersfield,United States,35.43360138,-119.0569992
El Paso International Airport,El Paso,United States,31.80719948,-106.3779984
Valley International Airport,Harlingen,United States,26.2285003662109,-97.6544036865234
Columbia Metropolitan Airport,Columbia,United States,33.9388008117676,-81.119499206543
Davis Monthan Air Force Base,Tucson,United States,32.1665000916,-110.883003235
Pensacola Naval Air Station/Forrest Sherman Field,Pensacola,United States,30.35269928,-87.31860352
Pensacola Regional Airport,Pensacola,United States,30.473400115967,-87.186599731445
Grand Forks Air Force Base,Red River,United States,47.961101532,-97.4011993408
William P Hobby Airport,Houston,United States,29.64539909,-95.27890015
Buckley Air Force Base,Buckley,United States,39.7016983032,-104.751998901
Northway Airport,Northway,United States,62.9612999,-141.9290009
Pittsburgh International Airport,Pittsburgh,United States,40.49150085,-80.23290253
Wiley Post Will Rogers Memorial Airport,Barrow,United States,71.285402,-156.766008
Ellington Airport,Houston,United States,29.6072998047,-95.1587982178
Whidbey Island Naval Air Station (Ault Field),Whidbey Island,United States,48.351799,-122.655998
Alice International Airport,Alice,United States,27.7409000397,-98.0269012451
Moody Air Force Base,Valdosta,United States,30.9678001404,-83.1930007935
Miami International Airport,Miami,United States,25.7931995391846,-80.2906036376953
Seattle Tacoma International Airport,Seattle,United States,47.449001,-122.308998
Lovell Field,Chattanooga,United States,35.0353012084961,-85.2037963867188
Igor I Sikorsky Memorial Airport,Stratford,United States,41.163501739502,-73.1261978149414
Jackson-Medgar Wiley Evers International Airport,Jackson,United States,32.3111991882,-90.0758972168
Scholes International At Galveston Airport,Galveston,United States,29.2653007507324,-94.8603973388672
Long Beach /Daugherty Field/ Airport,Long Beach,United States,33.81769943,-118.1520004
Dillingham Airfield,Dillingham,United States,21.5795001984,-158.197006226
Williamsport Regional Airport,Williamsport,United States,41.2417984008789,-76.9210968017578
Indianapolis International Airport,Indianapolis,United States,39.7173,-86.294403
Whiteman Air Force Base,Knobnoster,United States,38.73030090332,-93.547897338867
Akron Fulton International Airport,Akron,United States,41.0374984741,-81.4669036865
Greenwood–Leflore Airport,Greenwood,United States,33.4943008423,-90.0847015381
Westchester County Airport,White Plains,United States,41.0670013427734,-73.7076034545898
Francis S Gabreski Airport,West Hampton Beach,United States,40.8437004089,-72.6317977905
Jonesboro Municipal Airport,Jonesboro,United States,35.8316993713379,-90.6464004516602
Tonopah Test Range Airport,Tonopah,United States,37.7988014221,-116.78099823
Palm Beach County Park Airport,West Palm Beach,United States,26.59300041,-80.08509827
North Island Naval Air Station-Halsey Field,San Diego,United States,32.69919968,-117.2149963
Biggs Army Air Field (Fort Bliss),El Paso,United States,31.84950066,-106.3799973
Yuma MCAS/Yuma International Airport,Yuma,United States,32.65660095,-114.6060028
Cavern City Air Terminal,Carlsbad,United States,32.3375015258789,-104.263000488281
Duluth International Airport,Duluth,United States,46.8420982361,-92.1936035156
Bethel Airport,Bethel,United States,60.77980042,-161.8379974
Bowman Field,Louisville,United States,38.2280006409,-85.6636962891
Sierra Vista Municipal Libby Army Air Field,Fort Huachuca,United States,31.5884990692139,-110.34400177002
Lihue Airport,Lihue,United States,21.9759998321533,-159.339004516602
Havre City County Airport,Havre,United States,48.54299927,-109.762001
Grant County International Airport,Grant County Airport,United States,47.20769882,-119.3199997
Edward F Knapp State Airport,Montpelier,United States,44.20349884,-72.56230164
San Nicolas Island Nolf Airport,San Nicolas Island,United States,33.2397994995117,-119.458000183105
Richmond International Airport,Richmond,United States,37.505199432373,-77.3197021484375
Shreveport Regional Airport,Shreveport,United States,32.446602,-93.8256
Merle K (Mudhole) Smith Airport,Cordova,United States,60.4917984,-145.4779968
Norfolk International Airport,Norfolk,United States,36.8945999145508,-76.2012023925781
Southeast Texas Regional Airport,Beaumont,United States,29.9507999420166,-94.0206985473633
Savannah Hilton Head International Airport,Savannah,United States,32.12760162,-81.20210266
Hill Air Force Base,Ogden,United States,41.12403,-111.973086
Nome Airport,Nome,United States,64.5121994018555,-165.445007324219
Scappoose Industrial Airpark,San Luis,United States,45.7709999084473,-122.861999511719
St Petersburg Clearwater International Airport,St. Petersburg,United States,27.91020012,-82.68740082
Menominee Regional Airport,Macon,United States,45.126701,-87.638397
Conroe-North Houston Regional Airport,Conroe,United States,30.351801,-95.414497
Deadhorse Airport,Deadhorse,United States,70.19470215,-148.4649963
San Antonio International Airport,San Antonio,United States,29.5337009429932,-98.4698028564453
Greater Rochester International Airport,Rochester,United States,43.1189002990723,-77.6724014282227
Patrick Air Force Base,Coco Beach,United States,28.2348995209,-80.6100997925
Teterboro Airport,Teterboro,United States,40.8501014709,-74.060798645
Ellsworth Air Force Base,Rapid City,United States,44.14500046,-103.1039963
Raleigh Durham International Airport,Raleigh-durham,United States,35.8776016235352,-78.7874984741211
James M Cox Dayton International Airport,Dayton,United States,39.902400970459,-84.2193984985352
Kenai Municipal Airport,Kenai,United States,60.5731010437012,-151.244995117188
Mc Alester Regional Airport,Mcalester,United States,34.882401,-95.783501
Niagara Falls International Airport,Niagara Falls,United States,43.1072998046875,-78.9461975097656
Coulter Field,Bryan,United States,30.7157001495,-96.3313980103
Wright AAF (Fort Stewart)/Midcoast Regional Airport,Wright,United States,31.889099,-81.562303
Newport News Williamsburg International Airport,Newport News,United States,37.13190079,-76.49299622
Esler Regional Airport,Alexandria,United States,31.3948993683,-92.2957992554
Altus Air Force Base,Altus,United States,34.667098999,-99.2667007446
Tucson International Airport,Tucson,United States,32.1161003112793,-110.94100189209
Minot Air Force Base,Minot,United States,48.4156,-101.358002
Beale Air Force Base,Marysville,United States,39.136100769,-121.43699646
Greater Kankakee Airport,Kankakee,United States,41.0713996887,-87.8462982178
Seymour Johnson Air Force Base,Goldsboro,United States,35.33940125,-77.96060181
Theodore Francis Green State Airport,Providence,United States,41.732601,-71.420403
Salisbury Ocean City Wicomico Regional Airport,Salisbury,United States,38.3404998779297,-75.5102996826172
Rancho Murieta Airport,Rancho Murieta,United States,38.4868011474609,-121.102996826172
Bob Hope Airport,Burbank,United States,34.2006988525391,-118.359001159668
Detroit Metropolitan Wayne County Airport,Detroit,United States,42.2123985290527,-83.353401184082
Tampa International Airport,Tampa,United States,27.9755001068115,-82.533203125
Pembina Municipal Airport,Pembina,United States,48.9425010681,-97.2407989502
Polk Army Air Field,Fort Polk,United States,31.0447998,-93.1917038
Eielson Air Force Base,Fairbanks,United States,64.66570282,-147.102005
Range Regional Airport,Hibbing,United States,47.38660049,-92.83899689
Angelina County Airport,Lufkin,United States,31.2339992523,-94.75
Midland International Airport,Midland,United States,31.9424991607666,-102.202003479004
Austin Straubel International Airport,Green Bay,United States,44.4850997924805,-88.1296005249023
Ardmore Municipal Airport,Ardmore,United States,34.30301,-97.0196342
Mc Guire Air Force Base,Wrightstown,United States,40.0155983,-74.59169769
Cherry Point MCAS /Cunningham Field/,Cherry Point,United States,34.90090179,-76.88069916
Emanuel County Airport,Santa Barbara,United States,32.6091003417969,-82.3699035644531
Augusta Regional At Bush Field,Bush Field,United States,33.3698997497559,-81.9645004272461
Sloulin Field International Airport,Williston,United States,48.177898407,-103.641998291
Bill & Hillary Clinton National Airport/Adams Field,Little Rock,United States,34.7294006348,-92.2242965698
Stewart International Airport,Newburgh,United States,41.5041007995605,-74.1047973632812
Baudette International Airport,Baudette,United States,48.7284011841,-94.612197876
Sacramento Executive Airport,Sacramento,United States,38.5125007629,-121.492996216
Homer Airport,Homer,United States,59.6455993652344,-151.477005004883
Waynesville-St. Robert Regional Forney field,Fort Leonardwood,United States,37.74160004,-92.14070129
Dobbins Air Reserve Base,Marietta,United States,33.91540146,-84.51629639
Fairchild Air Force Base,Spokane,United States,47.6151008606,-117.65599823
Roscommon County - Blodgett Memorial Airport,Houghton Lake,United States,44.359798,-84.671095
Tyndall Air Force Base,Panama City,United States,30.0695991516,-85.5754013062
Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002
Melbourne International Airport,Melbourne,United States,28.1028003692627,-80.6453018188477
McChord Air Force Base,Tacoma,United States,47.1376991272,-122.475997925
Austin Bergstrom International Airport,Austin,United States,30.1944999694824,-97.6698989868164
Rickenbacker International Airport,Columbus,United States,39.813801,-82.927803
Sawyer International Airport,Gwinn,United States,46.3535995483,-87.395401001
McGhee Tyson Airport,Knoxville,United States,35.81100082,-83.9940033
Hood Army Air Field,Fort Hood,United States,31.1387004852,-97.7145004272
St Louis Lambert International Airport,St. Louis,United States,38.748697,-90.370003
Millville Municipal Airport,Millville,United States,39.367802,-75.072197
Sheppard Air Force Base-Wichita Falls Municipal Airport,Wichita Falls,United States,33.9888,-98.491898
Cincinnati Municipal Airport Lunken Field,Cincinnati,United States,39.10329819,-84.41860199
Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101
Castle Airport,Merced,United States,37.38050079,-120.5680008
Mc Clellan Airfield,Sacramento,United States,38.66759872,-121.401001
Gerald R. Ford International Airport,Grand Rapids,United States,42.88079834,-85.52279663
Winkler County Airport,Wink,United States,31.7796001434,-103.200996399
Fresno Yosemite International Airport,Fresno,United States,36.7761993408203,-119.718002319336
Vero Beach Regional Airport,Vero Beach,United States,27.6556,-80.417901
Imperial County Airport,Imperial,United States,32.8342018127,-115.57900238
Nashville International Airport,Nashville,United States,36.1245002746582,-86.6781997680664
Laredo International Airport,Laredo,United States,27.5438003540039,-99.4616012573242
Elmendorf Air Force Base,Anchorage,United States,61.2509994506836,-149.807006835938
Ralph Wien Memorial Airport,Kotzebue,United States,66.88469696,-162.598999
Altoona Blair County Airport,Altoona,United States,40.29639816,-78.31999969
Dyess Air Force Base,Abilene,United States,32.4207992554,-99.854598999
South Arkansas Regional At Goodwin Field,El Dorado,United States,33.2210006713867,-92.8133010864258
La Guardia Airport,New York,United States,40.77719879,-73.87259674
Tallahassee Regional Airport,Tallahassee,United States,30.3964996337891,-84.3503036499023
Dupage Airport,West Chicago,United States,41.90779877,-88.24859619
Waco Regional Airport,Waco,United States,31.6112995147705,-97.2304992675781
Augusta State Airport,Augusta,United States,44.3205986023,-69.7973022461
Hillsboro Municipal Airport,Hillsboro,United States,32.08349991,-97.09719849
Jacksonville Naval Air Station (Towers Field),Jacksonville,United States,30.2358,-81.680603
McKellar-Sipes Regional Airport,Jackson,United States,35.599899,-88.915604
Molokai Airport,Molokai,United States,21.1529006958008,-157.095993041992
Godman Army Air Field,Fort Knox,United States,37.9071006775,-85.9720993042
New River MCAS /H/ /Mccutcheon Fld/ Airport,Jacksonville,United States,34.70840073,-77.43969727
San Angelo Regional Mathis Field,San Angelo,United States,31.3577003479004,-100.496002197266
Calexico International Airport,Calexico,United States,32.6694984436,-115.513000488
Chico Municipal Airport,Chico,United States,39.79539871,-121.8580017
Burlington International Airport,Burlington,United States,44.4719009399,-73.1532974243
Jacksonville International Airport,Jacksonville,United States,30.4941005706787,-81.6878967285156
Durango La Plata County Airport,Durango,United States,37.1515007019,-107.753997803
Washington Dulles International Airport,Washington,United States,38.94449997,-77.45580292
Easterwood Field,College Station,United States,30.58860016,-96.36380005
Felts Field,Spokane,United States,47.682800292969,-117.32299804688
General Mitchell International Airport,Milwaukee,United States,42.9472007751465,-87.896598815918
Abilene Regional Airport,Abilene,United States,32.4113006592,-99.6819000244
Columbia Regional Airport,Columbia,United States,38.8180999755859,-92.219596862793
Portland International Airport,Portland,United States,45.58869934,-122.5979996
Dade Collier Training and Transition Airport,Miami,United States,25.861799240112,-80.897003173828
Palm Beach International Airport,West Palm Beach,United States,26.6832008361816,-80.0955963134766
Fort Worth Meacham International Airport,Fort Worth,United States,32.819801,-97.362396
Ogdensburg International Airport,Ogdensburg,United States,44.6819000244,-75.4654998779
Cape Cod Coast Guard Air Station,Falmouth,United States,41.6584014893,-70.5214004517
Boeing Field King County International Airport,Seattle,United States,47.5299987792969,-122.302001953125
Lackland Air Force Base,San Antonio,United States,29.38419914,-98.58110046
Daniel K Inouye International Airport,Honolulu,United States,21.32062,-157.924228
Des Moines International Airport,Des Moines,United States,41.5340003967285,-93.6631011962891
Coastal Carolina Regional Airport,New Bern,United States,35.0730018616,-77.0429000854
San Diego International Airport,San Diego,United States,32.7336006165,-117.190002441
Monroe Regional Airport,Monroe,United States,32.5108985900879,-92.0376968383789
Shaw Air Force Base,Sumter,United States,33.97269821,-80.47059631
Ontario International Airport,Ontario,United States,34.0559997558594,-117.600997924805
Majors Airport,Greenvile,United States,33.0677986145,-96.0652999878
Roswell International Air Center Airport,Roswell,United States,33.3016014099121,-104.53099822998
Coleman A. Young Municipal Airport,Detroit,United States,42.40919876,-83.00990295
Brownsville South Padre Island International Airport,Brownsville,United States,25.9067993164062,-97.4259033203125
Dothan Regional Airport,Dothan,United States,31.3213005065918,-85.4496002197266
Cape May County Airport,Wildwood,United States,39.0084991455,-74.9083023071
Fallon Naval Air Station,Fallon,United States,39.41659927,-118.7009964
Selfridge Air National Guard Base Airport,Mount Clemens,United States,42.613463,-82.836919
Four Corners Regional Airport,Farmington,United States,36.7411994934,-108.230003357
Corpus Christi International Airport,Corpus Christi,United States,27.7703990936279,-97.5011978149414
Syracuse Hancock International Airport,Syracuse,United States,43.111198425293,-76.1063003540039
Naval Air Station Key West/Boca Chica Field,Key West,United States,24.57579994,-81.68890381
Chicago Midway International Airport,Chicago,United States,41.785999,-87.752403
Norman Y. Mineta San Jose International Airport,San Jose,United States,37.362598,-121.929001
Lea County Regional Airport,Hobbs,United States,32.6875,-103.2170029
Northeast Philadelphia Airport,Philadelphia,United States,40.081902,-75.010597
Denver International Airport,Denver,United States,39.861698150635,-104.672996521
Philadelphia International Airport,Philadelphia,United States,39.871898651123,-75.241096496582
Sioux Gateway Col. Bud Day Field,Sioux City,United States,42.40259933,-96.38439941
Middle Georgia Regional Airport,Macon,United States,32.692798614502,-83.6492004394531
Truth Or Consequences Municipal Airport,Truth Or Consequences,United States,33.2369003296,-107.272003174
Palmdale Regional/USAF Plant 42 Airport,Palmdale,United States,34.62939835,-118.0849991
Randolph Air Force Base,San Antonio,United States,29.52969933,-98.27890015
El Centro NAF Airport (Vraciu Field),El Centro,United States,32.829201,-115.671996
John Glenn Columbus International Airport,Columbus,United States,39.998001,-82.891899
Drake Field,Fayetteville,United States,36.0051002502441,-94.1700973510742
Henry Post Army Air Field (Fort Sill),Fort Sill,United States,34.64979935,-98.40219879
Princeton Municipal Airport,Princeton,United States,45.55989838,-93.60820007
Wright-Patterson Air Force Base,Dayton,United States,39.8260993958,-84.0483016968
Edward G. Pitka Sr Airport,Galena,United States,64.73619843,-156.9369965
Chandler Municipal Airport,Chandler,United States,33.2691,-111.810997
Mineral Wells Airport,Mineral Wells,United States,32.7816009521,-98.0602035522
Mc Connell Air Force Base,Wichita,United States,37.62189865,-97.26820374
New Orleans NAS JRB/Alvin Callender Field,New Orleans,United States,29.82530022,-90.03500366
Beaufort County Airport,Beaufort,United States,32.4122009277,-80.6343994141
Texarkana Regional Webb Field,Texarkana,United States,33.4537010192871,-93.9909973144531
Plattsburgh International Airport,Plattsburgh,United States,44.6509017944336,-73.4681015014648
Phillips Army Air Field,Aberdeen,United States,39.466202,-76.1688
Tucumcari Municipal Airport,Tucumcari,United States,35.182800293,-103.602996826
Ted Stevens Anchorage International Airport,Anchorage,United States,61.1744003295898,-149.996002197266
Robert Gray  Army Air Field Airport,Killeen,United States,31.067199707,-97.8289031982
Black Rock Airport,Zuni Pueblo,United States,35.0831985473633,-108.791999816895
Bellingham International Airport,Bellingham,United States,48.7928009033203,-122.53800201416
Millington-Memphis Airport,Millington,United States,35.356701,-89.8703
Elkins-Randolph Co-Jennings Randolph Field,Elkins,United States,38.88940048,-79.85710144
Hartford Brainard Airport,Hartford,United States,41.736698150635,-72.649398803711
North Central State Airport,Smithfield,United States,41.9207992554,-71.4914016724
Mobile Regional Airport,Mobile,United States,30.691200256348,-88.242797851562
Moffett Federal Airfield,Mountain View,United States,37.4161,-122.049004
Santa Fe Municipal Airport,Santa Fe,United States,35.617099762,-106.088996887
Barking Sands Airport,Barking Sands,United States,22.0228004456,-159.785003662
Beauregard Regional Airport,Deridder,United States,30.8316993713,-93.3398971558
Bradshaw Army Airfield,Bradshaw Field,United States,19.760099411,-155.554000854
Nogales International Airport,Nogales,United States,31.4177,-110.848
Mac Dill Air Force Base,Tampa,United States,27.84930038,-82.52120209
Scott AFB/Midamerica Airport,Belleville,United States,38.5452,-89.835197
Opa-locka Executive Airport,Miami,United States,25.907,-80.278397
Del Rio International Airport,Del Rio,United States,29.3742008209,-100.927001953
Southwest Florida International Airport,Fort Myers,United States,26.5361995697021,-81.7552032470703
King Salmon Airport,King Salmon,United States,58.67679977,-156.6490021
Muir Army Air Field (Fort Indiantown Gap) Airport,Muir,United States,40.434799,-76.569397
Kapalua Airport,Lahania-kapalua,United States,20.9629001617432,-156.673004150391
John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015
Homestead ARB Airport,Homestead,United States,25.48859978,-80.38359833
Riverside Municipal Airport,Riverside,United States,33.95190048,-117.4449997
Sherman Army Air Field,Fort Leavenworth,United States,39.3683013916,-94.9147033691
Wallops Flight Facility Airport,Wallops Island,United States,37.9402008057,-75.4664001465
Holloman Air Force Base,Alamogordo,United States,32.8525009155,-106.107002258
Willow Grove Naval Air Station/Joint Reserve Base,Willow Grove,United States,40.19979858,-75.14820099
Cheyenne Regional Jerry Olson Field,Cheyenne,United States,41.15570068,-104.8119965
Stockton Metropolitan Airport,Stockton,United States,37.894199371338,-121.2379989624
